username,last_saved,run,topics,user_select,show_voided,sort_by_shot,ascending,null_shots_first,auto_update,auto_scroll,scroll_top,max_rows,fontsize,show_test,GUID,id
ylin,2/17/05,0,"('AVAILABILITY','DISCHARGE_CLEAN','DPCS','EDGE','ENGOPS','HYBRID','LH','MDS-PLUS','OPS','PCI','PHYSICS_OPERATOR','PO_PLAN','PO_SUMMARY','POWER_SYSTEMS','REFLECTOMETER','RF','RF_MONITOR','RF_REFLECTOMETER','RGA','SESSION_LEADER','SL_PLAN','SL_SUMMARY','SPECTROSCOPY')",,N,-1,-1,-1,-1,-1,0,320,2,N,{9D7927CC-D951-E711-ABE8-0050568A3DF0},{9D7927CC-D951-E711-ABE8-0050568A3DF0}
marmar,2/24/05,0,"('BES','BOLO','CECE','CFP','cnpa','CXRS','DISCHARGE_CLEAN','DNB','DPCS','dust','ECE','EDGE','ENGOPS','FILD','FTCI','GPI','HALPHA','HIREX','HXR','HYBRID','IMPURITIES','LH','LPI','MDS-PLUS','MHD','MINI_PROPOSAL','MSE','NEUTRALS','NEUTRONS','NEUTS_HARDS','OPS','PCI','PHYSICS_OPERATOR','PI','PO_PLAN','PO_SUMMARY','polar','POWER_SYSTEMS','PRESSURE','RANGEFINDER','REFLECTOMETER','RF','RF_REFLECTOMETER','RGA','SESSION_LEADER','SL_PLAN','SL_SUMMARY','SOFTWARE','SPECTROSCOPY','TCI','TESTING','TESTING2','THOMPSON','TRANSPORT','TTCI','video','XRAY_PHA','XTOMO','Z_METER')",wolfe or marmar,N,-1,0,0,-1,-1,-1,320,2,N,{9E7927CC-D951-E711-ABE8-0050568A3DF0},{9E7927CC-D951-E711-ABE8-0050568A3DF0}
blip,2/25/05,1170404,"('PHYSICS_OPERATOR','PO_PLAN','PO_SUMMARY','SESSION_LEADER','SL_PLAN','SL_SUMMARY','SPECTROSCOPY')",,N,-1,-1,0,-1,-1,0,160,2,Y,{9F7927CC-D951-E711-ABE8-0050568A3DF0},{9F7927CC-D951-E711-ABE8-0050568A3DF0}
lao,2/28/05,1050302,"('OPS','PHYSICS_OPERATOR','SESSION_LEADER','SL_PLAN','SL_SUMMARY')",ME,N,-1,-1,0,-1,-1,-1,80,1,,{A07927CC-D951-E711-ABE8-0050568A3DF0},{A07927CC-D951-E711-ABE8-0050568A3DF0}
kmarr,3/2/05,1100721,"('CXRS','DNB','EDGE','LPI','PHYSICS_OPERATOR','PO_PLAN','SESSION_LEADER','SL_PLAN','SL_SUMMARY','SPECTROSCOPY')",,N,-1,-1,-1,-1,-1,0,80,3,Y,{A17927CC-D951-E711-ABE8-0050568A3DF0},{A17927CC-D951-E711-ABE8-0050568A3DF0}
hender,3/8/05,1060706,"('SL_PLAN','SL_SUMMARY')",ME,N,-1,-1,0,-1,-1,-1,80,1,,{A27927CC-D951-E711-ABE8-0050568A3DF0},{A27927CC-D951-E711-ABE8-0050568A3DF0}
synakowski,3/10/05,1050311,"('PHYSICS_OPERATOR','PO_PLAN','SESSION_LEADER','SL_PLAN')",ME,N,-1,-1,-1,-1,-1,0,320,3,,{A37927CC-D951-E711-ABE8-0050568A3DF0},{A37927CC-D951-E711-ABE8-0050568A3DF0}
jrwilson,3/10/05,1160916,"('LH','MSE','PHYSICS_OPERATOR','RF','SESSION_LEADER','SL_PLAN')",,N,-1,0,0,-1,-1,-1,80,1,N,{A47927CC-D951-E711-ABE8-0050568A3DF0},{A47927CC-D951-E711-ABE8-0050568A3DF0}
burruss,3/15/05,0,"('SESSION_LEADER','PHYSICS_OPERATOR')",ME,N,-1,-1,0,-1,-1,-1,80,1,,{A57927CC-D951-E711-ABE8-0050568A3DF0},{A57927CC-D951-E711-ABE8-0050568A3DF0}
parisot,3/15/05,0,"('ECE','MINI_PROPOSAL','OPS','PHYSICS_OPERATOR','PO_PLAN','PO_SUMMARY','RF','RF_MONITOR','SESSION_LEADER','SL_PLAN','SL_SUMMARY','SPECTROSCOPY')",ME,N,-1,0,0,-1,-1,-1,80,1,,{A67927CC-D951-E711-ABE8-0050568A3DF0},{A67927CC-D951-E711-ABE8-0050568A3DF0}
murray,3/16/05,0,"('DISCHARGE_CLEAN','ENGOPS','FTCI','OPS','PCI','PHYSICS_OPERATOR','PO_PLAN','PO_SUMMARY','POWER_SYSTEMS','REFLECTOMETER','RF','RF_MONITOR','SESSION_LEADER','SL_PLAN','SL_SUMMARY','SPECTROSCOPY','TCI','THOMPSON')",ME,N,-1,0,0,-1,-1,-1,320,3,Y,{A77927CC-D951-E711-ABE8-0050568A3DF0},{A77927CC-D951-E711-ABE8-0050568A3DF0}
riley,3/16/05,0,('RF'),ME,N,-1,-1,0,-1,-1,-1,80,1,,{A87927CC-D951-E711-ABE8-0050568A3DF0},{A87927CC-D951-E711-ABE8-0050568A3DF0}
